OBJECTID,INCIDENT_TYPE,REPORT_TAKEN_DATE_EST,YEAR,DATA_TYPE,SUBJECT_RACE,SUBJECT_SEX,SUBJECT_ETHNICITY,BLOCK_ADDRESS,RECODE_ADD,INCIDENT_LOCATION_DISTRICT,INCIDENT_LOCATION_PSA,AGE,WARD,VOTE_PRECINCT,ADVIS_NEIGH_COMMIS,POLICE_DISTRICT,SINGLE_MEMBER_DISTRICT,POLICE_SERVICE AREA,CENSUS_TRACT,NEIGHBORHOOD_CLUSTER
1001,Stop & Frisk,2010-04-19T15:26:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,3900 B/O BENNING RD NE,3900 BENNING RD NE,6D,602,18,7,99,7F,6,7F01,602,7803,30
1002,Stop & Frisk,2010-04-19T15:26:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3900 B/O BENNING RD NE,3900 BENNING RD NE,6D,602,Juvenile,7,99,7F,6,7F02,602,7804,30
1003,Stop & Frisk,2010-04-19T15:26:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3900 B/O BENNING RD NE,3900 BENNING RD NE,6D,602,Juvenile,7,99,7F,6,7F03,602,7805,30
1004,Stop & Frisk,2010-04-19T15:26:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,3900 B/O BENNING RD NE,3900 BENNING RD NE,6D,602,Juvenile,7,99,7F,6,7F04,602,7806,30
1005,Stop & Frisk,2010-04-19T18:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,300 B/O K ST NE,1009 3rd St SE,1D,102,Juvenile,6,131,6D,1,6D07,106,7200,27
1006,Stop & Frisk,2010-04-19T18:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,500 B/O RHODE ISLAND AVE NW,500 RHODE ISLAND AVE NW,3D,308,22,6,21,6E,3,6.00E+02,308,4801,7
1007,Stop & Frisk,2010-04-19T19:50:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,700 B/O INGRAHAM ST NW,700 INGRAHAM ST NW,4D,403,Juvenile,4,56,4D,4,4D04,403,2101,18
1008,Stop & Frisk,2010-04-19T20:10:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,900 B/O DELAFIELD PL NW,900 DELAFIELD PL NW,4D,407,18,4,55,4D,4,4D06,407,2201,18
1009,Stop & Frisk,2010-04-19T21:30:00.000Z,2010,Person,Unknown,Unknown,Unknown,1300 B/O LEVIS ST NE,1312 LEVIS ST NE,5D,506,,5,77,5D,5,5D07,506,8802,23
1010,Stop & Frisk,2010-04-19T22:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,6TH ST NW / N ST NW,515 N ST NW,3D,308,22,6,18,6E,3,6.00E+02,308,4801,7
1011,Stop & Frisk,2010-04-19T22:30:00.000Z,2010,Person,Black,Unknown,Not Hispanic Or Latino,6TH ST NW / N ST NW,515 N ST NW,3D,308,Juvenile,6,18,6E,3,6.00E+03,308,4802,7
1012,Stop & Frisk,2010-04-20T16:15:00.000Z,2010,,,,,1000 B/O POTOMAC AVE SE,816 POTOMAC AVENUE SE,1D,106,,6,131,6B,1,6B04,106,7200,27
1013,Stop & Frisk,2010-04-20T19:15:00.000Z,2010,Person,Black,Male,Unknown,12TH ST SE / I ST SE,1214 I ST SE,1D,106,48,6,91,6B,1,6B07,106,7100,26
1014,Stop & Frisk,2010-04-20T20:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,400 B/O 60TH ST NE,400 60TH ST NE,6D,608,19,7,95,7C,6,7C05,608,7808,31
1015,Stop & Frisk,2010-04-20T21:25:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,500 B/O EDGEWOOD ST NE,500 EDGEWOOD ST NE,5D,504,19,5,74,5E,5,5.00E+02,502,9204,21
1016,Stop & Frisk,2010-04-20T22:48:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1900 B/O RIDGECREST CT SE,1900 RIDGECREST CT SE,7D,704,Juvenile,8,116,8E,7,8.00E+03,704,7403,38
1017,Stop & Frisk,2010-04-21T01:00:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,200 B/O V ST NW,249 V ST NW,,,50,1,20,1B,3,1B11,306,3400,3
1018,Stop & Frisk,2010-04-21T01:30:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,300 B/O DIVISION AVE NE,300 DIVISION AVE NE,6D,602,30,7,97,7C,6,7C01,602,7804,31
1019,Stop & Frisk,2010-04-21T01:30:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,300 B/O DIVISION AVE NE,300 DIVISION AVE NE,6D,602,27,7,97,7C,6,7C01,602,7804,31
1020,Stop & Frisk,2010-04-21T13:40:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1300 B/O 1ST ST SW,88 N ST SW,1D,104,21,6,127,6D,1,6D06,105,6400,9
1021,Stop & Frisk,2010-04-21T16:55:00.000Z,2010,,,,,700 B/O 7TH ST NW,700 7TH ST NW,1D,102,,2,129,2C,1,2C01,101,5800,8
1022,Stop & Frisk,2010-04-21T19:00:00.000Z,2010,Person,Black,Male,Unknown,3100 B/O MT PLEASANT ST NW,3100 MT PLEASANT ST NW,4D,408,Juvenile,1,39,1D,3,1D04,302,2702,2
1023,Stop & Frisk,2010-04-21T22:49:00.000Z,2010,Person,Black,Unknown,Not Hispanic Or Latino,1200 B/O G ST SE,1200 G STREET SE,6D,604,19,6,91,6B,1,6B07,106,7100,26
1024,Stop & Frisk,2010-04-21T22:49:00.000Z,2010,Person,Unknown,Unknown,Unknown,1200 B/O G ST SE,1200 G STREET SE,6D,604,,6,91,6B,1,6B07,106,7100,26
1025,Stop & Frisk,2010-04-22T01:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,GEORGIA AVE NW / MORTON ST NW,3401 GEORGIA AVE NW,3D,302,26,1,38,1A,4,1A09,409,3200,2
1026,Stop & Frisk,2010-04-22T02:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,500 B/O QUINCY ST NW,501 QUINCY ST NW,4D,407,41,4,45,4C,4,4C08,407,2400,18
1027,Stop & Frisk,2010-04-22T05:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,400 B/O L S T NW,1011 L ST NW,1D,102,43,2,129,2F,3,2F06,307,4902,8
1028,Stop & Frisk,2010-03-14T23:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,DELAWARE AVE SW / I ST SW,900 DELAWARE AVE SW,1D,104,18,6,128,6D,1,6D02,105,10500,9
1029,Stop & Frisk,2010-03-14T23:00:00.000Z,2010,Person,Unknown,Male,Not Hispanic Or Latino,1700 B/O NEW YORK AVE NW,1700 NEW YORK AVE NW,2D,207,31,2,2,2A,2,2A01,207,10800,5
1030,Stop & Frisk,2010-03-14T23:00:00.000Z,2010,Person,White,Male,Not Hispanic Or Latino,1700 B/O NEW YORK AVE NW,1700 NEW YORK AVE NW,2D,207,23,2,2,2A,2,2A01,207,10800,5
1031,Stop & Frisk,2010-03-14T23:00:00.000Z,2010,Person,White,Male,Not Hispanic Or Latino,1700 B/O NEW YORK AVE NW,1700 NEW YORK AVE NW,2D,207,22,2,2,2A,2,2A01,207,10800,5
1032,Stop & Frisk,2010-03-15T00:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1400 B/O W ST NE,2203 14th ST NE,5D,505,Juvenile,5,72,5C,5,5C05,505,9102,22
1033,Stop & Frisk,2010-03-15T12:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,53RD ST NE,5253 Banks PL NE,6D,602,46,7,96,7C,6,7C02,608,7808,31
1034,Stop & Frisk,2010-03-15T17:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,GEORGIA AVE / WEBSTER ST NW,4402 GEORGIA AVE NW,4D,404,Juvenile,4,48,4C,4,4C07,404,251,18
1035,Stop & Frisk,2010-03-15T17:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,GEORGIA AVE / WEBSTER ST NW,4402 GEORGIA AVE NW,4D,404,Juvenile,4,48,4C,4,4C07,404,251,18
1036,Stop & Frisk,2010-03-15T17:30:00.000Z,2010,Person,Unknown,Unknown,Unknown,1600 B/O COLUMBIA RD NW,1610 COLUMBIA RD NW,3D,303,,1,35,1C,3,1C06,303,3800,1
1037,Stop & Frisk,2010-03-15T17:30:00.000Z,2010,Person,White,Male,Hispanic Or Latino,1600 B/O COLUMBIA RD NW,1600 COLUMBIA RD NW,3D,303,Juvenile,1,35,1C,3,1C06,303,3800,1
1038,Stop & Frisk,2010-03-15T22:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4600 B/O ALABAMA AVE SE,4620 ALABAMA AVE SE,6D,604,31,7,106,7E,6,7.00E+01,605,7707,33
1039,Stop & Frisk,2010-03-16T00:55:00.000Z,2010,Person,Unknown,Male,Hispanic Or Latino,2ND ST NW / GALLATIN ST NW,5101 2ND ST NW,4D,403,20,4,57,4D,4,4D02,403,2101,18
1040,Stop & Frisk,2010-03-16T03:38:00.000Z,2010,Person,Black,Male,Unknown,5800 B/O FOOTE ST NE,5801 FOOTE ST NE,6D,608,24,7,95,7C,6,7C06,608,7807,31
1041,Stop & Frisk,2010-03-16T04:18:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3000 B/O STANTON RD SE,3000 STANTON RD SE,7D,703,22,8,118,8B,7,8B04,703,7407,37
1042,Stop & Frisk,2010-03-16T04:18:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3000 B/O STANTON RD SE,3000 STANTON RD SE,7D,703,30,8,118,8B,7,8B04,703,7407,37
1043,Stop & Frisk,2010-03-16T17:30:00.000Z,2010,Person,Black,Male,Unknown,3200 B/O 12TH ST NE,3200 12TH ST NE,5D,504,29,5,73,5B,5,5B04,504,9301,22
1044,Stop & Frisk,2010-03-16T18:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4200 B/O 4TH ST SE,4201 4TH ST SE,7D,706,19,8,125,8B,7,8D03,708,9811,39
1045,Stop & Frisk,2010-03-16T18:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4200 B/O 4TH ST SE,4201 4TH ST SE,7D,706,21,8,125,8B,7,8D03,708,9811,39
1046,Stop & Frisk,2010-03-16T18:30:00.000Z,2010,Person,Unknown,Male,Hispanic Or Latino,2700 B/O ADAMS MILL RD NW,2707 ADAMS MILL RD NW,3D,303,20,1,35,1C,3,1C04,303,3900,1
1047,Stop & Frisk,2010-03-16T20:45:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,NAYLOR RD SE / GAINESVILLE ST SE,2725 30TH ST SE,6D,606,18,7,113,7B,6,7B05,606,7603,35
1048,Stop & Frisk,2010-03-16T20:45:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,NAYLOR RD SE / GAINESVILLE ST SE,2725 30TH ST SE,6D,606,19,7,113,7B,6,7B05,606,7603,35
1049,Stop & Frisk,2010-03-16T20:45:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,NAYLOR RD SE / GAINESVILLE ST SE,2725 30TH ST SE,6D,606,Juvenile,7,113,7B,6,7B05,606,7603,35
1050,Stop & Frisk,2010-03-17T02:07:00.000Z,2010,Person,Black,Male,Unknown,1100 B/O MOUNT OLIVET RD NE,1103 MOUNT OLIVET RD NE,5D,506,20,5,76,5D,5,5D02,506,8804,23
1051,Stop & Frisk,2010-03-17T02:27:00.000Z,2010,,,,,8TH / YUMA ST SE,800 YUMA  ST SE,7D,701,,8,121,8E,7,8.00E+06,706,9801,39
1052,Stop & Frisk,2010-03-17T13:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,2300 B/O ALABAMA AVE SE,3225 23RD ST SE,7D,704,20,8,116,8E,7,8.00E+03,704,7403,38
1053,Stop & Frisk,2010-03-17T13:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,2300 B/O ALABAMA AVE SE,3225 23RD ST SE,7D,704,20,8,116,8E,7,8.00E+03,704,7403,38
1054,Stop & Frisk,2010-03-17T13:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,2300 B/O ALABAMA AVE SE,3225 23RD ST SE,7D,704,20,8,116,8E,7,8.00E+03,704,7403,38
1055,Stop & Frisk,2010-03-17T17:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,BLAINE ST NE / 46TH ST NE,200 46TH ST NE,6D,602,42,7,98,7D,6,7D05,602,7803,33
1056,Stop & Frisk,2010-03-18T00:40:00.000Z,2010,Person,Unknown,Male,Not Hispanic Or Latino,2800 B/O O ST NW,2800 O ST NW,2D,206,33,2,5,2E,2,2.00E+06,206,100,4
1057,Stop & Frisk,2010-03-18T01:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,2900 B/O HARTFORD ST SE,2916 30TH ST SE,7D,702,32,8,115,8B,7,8B05,702,7502,36
1058,Stop & Frisk,2010-03-18T04:55:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,2600 B/O MINNESOTA AVE SE,2600 MINNESOTA AVE SE,6D,605,28,7,111,7B,6,7B03,605,7709,34
1059,Stop & Frisk,2010-03-18T12:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1100 B/O STEVENS RD SE,1100 STEVENS RD SE,7D,703,,8,119,8C,7,8C06,703,7401,37
1060,Stop & Frisk,2010-03-18T13:05:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,RHODE ISLAND AVE NE / 17TH ST NE,1617 RHODE ISLAND AVE NE,5D,505,26,5,72,5C,5,5C06,505,9102,22
1061,Stop & Frisk,2010-03-19T00:20:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3100 B/O M ST NW,3100 M ST NW,2D,206,,2,5,2E,2,2.00E+05,206,100,4
1062,Stop & Frisk,2010-03-19T11:45:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1600 B/O 35TH ST NW,1601 35TH ST NW,2D,205,43,2,6,2E,2,2.00E+02,206,202,4
1063,Stop & Frisk,2010-03-19T19:03:00.000Z,2010,Person,White,Male,Hispanic Or Latino,1400 B/O F ST NW,1400 F ST NW,2D,207,27,2,129,2C,2,2C01,207,5800,8
1064,Stop & Frisk,2010-03-19T20:20:00.000Z,2010,Person,White,Male,Not Hispanic Or Latino,1600 B/O CONSTITUTION AVE NW,1400 CONSTITUTION AVE NW,,,Juvenile,2,129,2C,2,2C01,207,6202,
1065,Stop & Frisk,2010-03-19T21:12:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4400 B/O BANKS ST NE,4401 BANKS ST NE,6D,602,42,7,98,7D,6,7D05,602,7803,33
1066,Stop & Frisk,2010-03-19T21:30:00.000Z,2010,Person,Black,Unknown,Not Hispanic Or Latino,700 B/O 7TH ST NW,700 7TH ST NW,1D,101,,2,129,2C,1,2C01,101,5800,8
1067,Stop & Frisk,2010-03-19T23:56:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,300 B/O 50TH ST NE,300 50TH ST NE,6D,602,24,7,97,7C,6,7C03,602,7804,31
1068,Stop & Frisk,2010-03-20T01:48:00.000Z,2010,Person,Unknown,Male,Hispanic Or Latino,11TH ST NW / KENYON ST NW,3133 11TH ST NW,3D,302,26,1,38,1A,3,1A11,302,3100,2
1069,Stop & Frisk,2010-03-20T02:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4400 B/O F ST SE,4401 F ST SE,6D,603,22,7,103,7F,6,7F03,604,9907,33
1070,Stop & Frisk,2010-03-20T02:12:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,400 B/O MASSACHUSETTS AVE NW,400 MASSACHUSETTS AVE NW,3D,308,18,2,143,2C,1,2C02,101,5900,8
1071,Stop & Frisk,2010-03-20T03:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3300 B/O 5TH ST SE,3300 5TH ST SE,7D,705,37,8,122,8C,7,8C07,705,9804,39
1072,Stop & Frisk,2010-03-20T08:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,600 B/O EASTERN AVE NE,608 EASTERN AVE NE,6D,602,44,7,95,7C,6,7C06,608,7807,31
1073,Stop & Frisk,2010-03-20T12:45:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,HAREWOOD RD NW / NORTH CAPITOL ST,4301 HAREWOOD RD NE,4D,404,58,5,44,5A,4,5A06,405,9501,19
1074,Stop & Frisk,2010-03-20T12:45:00.000Z,2010,Person,Unknown,Unknown,Unknown,HAREWOOD RD NW / NORTH CAPITOL ST,4301 HAREWOOD RD NE,4D,404,,5,44,5A,4,5A06,405,9501,19
1075,Stop & Frisk,2010-03-20T15:54:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,5400 B/O 5TH ST NW,5400 5TH ST NW,4D,403,38,4,56,4D,4,4D01,403,2101,18
1076,Stop & Frisk,2010-03-20T20:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,700 B/O LAMONT ST NW,701 LAMONT ST NW,3D,302,Juvenile,1,38,1A,4,1A09,409,3100,2
1077,Stop & Frisk,2010-03-20T20:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,700 B/O LAMONT ST NW,700 LAMONT ST NW,3D,302,Juvenile,1,38,1A,4,1A09,409,3100,2
1078,Stop & Frisk,2010-03-20T20:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,700 B/O LAMONT ST NW,700 LAMONT ST NW,3D,302,19,1,38,1A,4,1A09,409,3100,2
1079,Stop & Frisk,2010-03-20T20:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,700 B/O LAMONT ST NW,700 LAMONT ST NW,3D,302,Juvenile,1,38,1A,4,1A09,409,3100,2
1080,Stop & Frisk,2010-03-20T21:26:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3000 B/O 12TH ST NE,3000 12TH ST NE,5D,504,29,5,73,5B,5,5B04,504,9301,22
1081,Stop & Frisk,2010-03-21T00:40:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4800 B/O IOWA AVE NW,4800 IOWA AVE NW,4D,404,20,4,54,4C,4,4C02,404,2002,18
1082,Stop & Frisk,2010-03-21T00:40:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4800 B/O IOWA AVE NW,4800 IOWA AVE NW,4D,404,18,4,54,4C,4,4C02,404,2002,18
1083,Stop & Frisk,2010-03-21T00:40:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4800 B/O IOWA AVE NW,4800 IOWA AVE NW,4D,404,18,4,54,4C,4,4C02,404,2002,18
1084,Stop & Frisk,2010-03-21T00:45:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3700 B/O HAYES ST NE,3700 HAYES ST NE,6D,601,20,7,100,7D,6,7D02,601,9602,30
1085,Stop & Frisk,2010-03-21T00:48:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,42ND ST NE / EDSON PL NE,4200 EDSON PL NE,6D,602,35,7,99,7D,6,7D06,602,7803,30
1086,Stop & Frisk,2010-03-21T00:48:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,42ND ST NE / EDSON PL NE,4200 EDSON PL NE,6D,602,27,7,99,7D,6,7D06,602,7803,30
1087,Stop & Frisk,2010-03-21T02:28:00.000Z,2010,Person,White,Male,Not Hispanic Or Latino,3300 B/O PROSPECT ST NW,3300 PROSPECT ST NW,2D,206,29,2,6,2E,2,2.00E+05,206,202,4
1088,Stop & Frisk,2010-03-21T03:55:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3100 B/O BERRY RD NE,3100 BERRY RD NE,5D,503,,2,6,2E,2,2.00E+05,206,202,4
1089,Stop & Frisk,2010-03-21T03:55:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3100 B/O BERRY RD NE,3100 BERRY RD NE,5D,503,18,2,6,2E,2,2.00E+05,206,202,4
1090,Stop & Frisk,2010-03-21T04:14:00.000Z,2010,Person,Unknown,Unknown,Unknown,1200 B/O FIRST ST NE,1200 FIRST ST NE,5D,501,,6,83,6C,5,6C06,501,10600,25
1091,Stop & Frisk,2010-03-21T04:14:00.000Z,2010,Person,White,Male,Not Hispanic Or Latino,1200 B/O FIRST ST NE,1200 FIRST ST NE,5D,501,22,6,83,6C,5,6C06,501,10600,25
1092,Stop & Frisk,2010-03-21T06:03:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1900 B/O S ST SE,1900 S ST SE,7D,701,18,8,133,8A,6,8A03,607,7601,34
1093,Stop & Frisk,2010-03-21T06:03:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1900 B/O S ST SE,1900 S ST SE,7D,701,18,8,133,8A,6,8A03,607,7601,34
1094,Stop & Frisk,2010-03-21T06:03:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1900 B/O S ST SE,1900 S ST SE,7D,701,18,8,133,8A,6,8A03,607,7601,34
1095,Stop & Frisk,2010-03-21T06:03:00.000Z,2010,Person,Unknown,Unknown,Not Hispanic Or Latino,1900 B/O S ST SE,1900 S ST SE,7D,701,18,8,133,8A,6,8A03,607,7601,34
1096,Stop & Frisk,2010-03-21T13:51:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1000 B/O 13TH ST SE,1000 13TH ST SE,1D,106,21,6,91,6B,1,6B07,106,7100,26
1097,Stop & Frisk,2010-03-21T14:15:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,ARKANSAS AVE NW,1329 ALLISON ST NW,4D,404,48,4,48,4C,4,4C03,404,2501,18
1098,Stop & Frisk,2010-03-21T21:30:00.000Z,2010,Person,Black,Male,Unknown,13TH ST NW / NEW YORK AVE NW,1250 NEW YORK AVE NW,1D,101,44,2,129,2C,2,2C01,209,5800,8
1099,Stop & Frisk,2010-03-22T04:24:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,100 B/O KENILWORTH AVE NE,102 KENILWORTH AVE NE,6D,603,19,7,101,7D,6,7D04,603,9604,32
1100,Stop & Frisk,2010-03-22T04:24:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,100 B/O KENILWORTH AVE NE,102 KENILWORTH AVE NE,6D,603,19,7,101,7D,6,7D04,603,9604,32
1101,Stop & Frisk,2010-03-22T16:15:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4700 B/O BENNING RD SE,4701 BENNING RD SE,6D,604,,7,103,7F,6,7F03,604,9907,33
1102,Stop & Frisk,2010-03-22T16:15:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4700 B/O BENNING RD SE,4701 BENNING RD SE,6D,604,29,7,103,7F,6,7F03,604,9907,33
1103,Stop & Frisk,2010-03-22T16:15:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,WHEELER RD SE / MISSISSIPPI AVE SE,3701 WHEELER RD SE,7D,705,Juvenile,8,122,8C,7,8C07,705,9804,39
1104,Stop & Frisk,2010-03-23T01:45:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,200 B/O 44TH ST NE,204 44TH ST NE,6D,602,27,7,99,7D,6,7D06,602,7803,30
1105,Stop & Frisk,2010-03-23T05:13:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,17TH ST NW,2200 17TH ST NW,1D,101,45,1,24,1C,3,1C08,303,3800,1
1106,Stop & Frisk,2010-03-23T05:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,AVE + NORTHGATE RD NW,1470 ROXANNA RD NW,4D,401,35,4,62,4A,4,4A02,401,1600,16
1107,Stop & Frisk,2010-03-23T09:35:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,3200 B/O BENNING RD NE,3200 BENNING RD NE,6D,601,19,7,100,7D,6,7D07,601,9602,30
1108,Stop & Frisk,2010-03-23T13:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1700 B/O D ST NE,1700 D ST NE,5D,507,18,6,81,6A,5,6A07,507,7901,25
1109,Stop & Frisk,2010-03-23T13:30:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1700 B/O D ST NE,1700 D ST NE,5D,507,29,6,81,6A,5,6A07,507,7901,25
1110,Stop & Frisk,2010-03-23T16:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,21ST ST NE / GALES ST NE,537 21ST ST NE,1D,103,51,7,80,7D,5,7D01,507,7903,25
1111,Stop & Frisk,2010-03-23T16:00:00.000Z,2010,Person,Unknown,Unknown,Unknown,21ST ST NE / GALES ST NE,537 21ST ST NE,1D,103,,7,80,7D,5,7D01,507,7903,25
1112,Stop & Frisk,2010-03-23T17:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1700 B/O KALORAMA RD NW,1700 KALORAMA RD NW,3D,303,Juvenile,1,24,1C,3,1C08,303,3800,1
1113,Stop & Frisk,2010-03-23T20:00:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1000 B/O 16TH ST NE,1001 16TH ST NE,1D,506,31,5,77,5D,5,5D07,506,8802,23
1114,Stop & Frisk,2010-03-23T20:00:00.000Z,2010,Person,White,Female,Not Hispanic Or Latino,100 B/O S ST NW,100 S ST NW,5D,501,51,5,19,5E,3,5.00E+07,308,3302,21
1115,Stop & Frisk,2010-03-23T22:15:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,2500 B/O 17TH ST NW,2501 17TH ST NW,3D,303,Juvenile,1,35,1C,3,1C06,303,3800,1
1116,Stop & Frisk,2010-03-24T12:15:00.000Z,2010,,,,,MONTELLO AVE NE / FLORIDA AVE NE,1212 FLORIDA AVE NW,5D,504,,1,22,1B,3,1B04,305,4400,3
1117,Stop & Frisk,2010-03-24T13:00:00.000Z,2010,Person,Black,Female,Not Hispanic Or Latino,6500 B/O GEORGIA AVE NW,6514 GEORGIA AVE NW,4D,402,38,4,61,4A,4,4A04,402,1804,17
1118,Stop & Frisk,2010-03-24T19:00:00.000Z,2010,Person,Unknown,Male,Hispanic Or Latino,1900 B/O KALORAMA RD NW,1900 KALORAMA RD NW,3D,303,Juvenile,1,25,1C,3,1C02,303,4001,1
1119,Stop & Frisk,2010-03-25T03:58:00.000Z,2010,Person,Unknown,Male,Hispanic Or Latino,5300 B/O GEORGIA AVE NW,5300 GEORGIA AVE NW,4D,403,19,4,54,4C,4,4C01,403,2002,18
1120,Stop & Frisk,2010-03-25T03:58:00.000Z,2010,Person,Unknown,Male,Hispanic Or Latino,5300 B/O GEORGIA AVE NW,5300 GEORGIA AVE NW,4D,403,20,4,54,4C,4,4C01,403,2002,18
1121,Stop & Frisk,2010-03-25T03:58:00.000Z,2010,Person,Unknown,Male,Hispanic Or Latino,5300 B/O GEORGIA AVE NW,5300 GEORGIA AVE NW,4D,403,18,4,54,4C,4,4C01,403,2002,18
1122,Stop & Frisk,2010-03-25T14:21:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,4600 B/O BENNING RD SE,4600 BENNING RD SE,6D,604,41,7,104,7E,6,7.00E+04,604,9906,33
1123,Stop & Frisk,2010-03-25T15:15:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,600 B/O RHODE ISLAND AVE NE,600 RHODE ISLAND AVE NE,5D,502,26,5,74,5E,5,5.00E+02,502,9204,21
1124,Stop & Frisk,2010-03-25T16:47:00.000Z,2010,Person,Black,Male,Not Hispanic Or Latino,1000 B/O H ST NE,1000 H ST NE,1D,104,18,6,82,6A,1,6A01,104,8410,25
1125,Stop & Frisk,2010-03-25T17:00:00.000Z,2010,Person,Black,Male,Unknown,2200 B/O GOOD HOPE RD SE,2200 GOOD HOPE RD SE,7D,701,26,8,112,8A,6,8A02,607,7605,34
